event_ticker,horizon,median,mode_low,mode_high,lower_tail_prob,upper_tail_prob,implied_mean_TAIL_ASSUMED,n_thresholds,n_monotonicity_violations
KXCPIYOY-24NOV,final,2.6708333333333334,2.6,2.7,0.0050000000000000044,0.01,2.6854999999999998,10,0
KXCPIYOY-25APR,14d,2.319642857142857,2.3,2.4,0.19499999999999995,0.025,2.3499999999999996,10,0
KXCPIYOY-25APR,1d,2.329411764705882,2.3,2.4,0.10999999999999999,0.005,2.3480000000000003,10,0
KXCPIYOY-25APR,21d,2.3196078431372547,2.2,2.3,0.18500000000000005,0.025,2.358,10,0
KXCPIYOY-25APR,3d,2.3337662337662337,2.3,2.4,0.125,0.015,2.3535000000000004,10,0
KXCPIYOY-25APR,7d,2.3440677966101693,2.3,2.4,0.09999999999999998,0.02,2.3655000000000004,10,0
KXCPIYOY-25APR,final,2.329411764705882,2.3,2.4,0.10999999999999999,0.005,2.3480000000000003,10,0
KXCPIYOY-25AUG,14d,2.8317073170731706,2.8,2.9,0.010000000000000009,0.03,2.8259999999999996,8,0
KXCPIYOY-25AUG,1d,2.8402173913043476,2.8,2.9,0.0050000000000000044,0.015,2.8394999999999997,8,0
KXCPIYOY-25AUG,21d,2.818292682926829,2.8,2.9,0.020000000000000018,0.025,2.8084999999999996,8,0
KXCPIYOY-25AUG,3d,2.8284090909090907,2.8,2.9,0.010000000000000009,0.01,2.8229999999999995,8,0
KXCPIYOY-25AUG,7d,2.833333333333333,2.8,2.9,0.010000000000000009,0.015,2.8285,8,0
KXCPIYOY-25AUG,final,2.8402173913043476,2.8,2.9,0.0050000000000000044,0.015,2.8394999999999997,8,0
KXCPIYOY-25DEC,14d,2.596385542168675,2.5,2.6,0.025000000000000022,0.015,2.6494999999999997,8,0
KXCPIYOY-25DEC,1d,2.646551724137931,2.6,2.7,0.040000000000000036,0.01,2.6584999999999996,8,0
KXCPIYOY-25DEC,21d,2.6314285714285717,2.5,2.6,0.025000000000000022,0.025,2.672,8,0
KXCPIYOY-25DEC,3d,2.6484375,2.6,2.7,0.050000000000000044,0.015,2.6585,8,0
KXCPIYOY-25DEC,7d,2.63,2.5,2.6,0.040000000000000036,0.01,2.647,8,0
KXCPIYOY-25DEC,final,2.646551724137931,2.6,2.7,0.040000000000000036,0.01,2.6584999999999996,8,0
KXCPIYOY-25FEB,14d,2.8720588235294118,2.8,2.9,0.01750000000000007,0.065,2.8725,8,1
KXCPIYOY-25FEB,1d,2.854255319148936,2.8,2.9,0.010000000000000009,0.015,2.8494999999999995,8,0
KXCPIYOY-25FEB,21d,2.88695652173913,2.8,2.9,0.022499999999999964,0.07,2.889,8,1
KXCPIYOY-25FEB,3d,2.8609756097560974,2.8,2.9,0.010000000000000009,0.02,2.8545000000000003,8,0
KXCPIYOY-25FEB,7d,2.8513157894736842,2.8,2.9,0.010000000000000009,0.035,2.8485,8,0
KXCPIYOY-25FEB,final,2.854255319148936,2.8,2.9,0.010000000000000009,0.015,2.8494999999999995,8,0
KXCPIYOY-25JAN,14d,2.8907692307692305,2.8,2.9,0.0050000000000000044,0.055,2.8739999999999997,14,1
KXCPIYOY-25JAN,1d,2.8962264150943398,2.9,3.0,0.0050000000000000044,0.045,2.8765,14,0
KXCPIYOY-25JAN,21d,2.8805555555555555,2.8,2.9,0.025000000000000022,0.055,2.8495,14,4
KXCPIYOY-25JAN,3d,2.935,2.9,3.0,0.010000000000000009,0.085,2.908,14,3
KXCPIYOY-25JAN,7d,2.8983333333333334,2.9,3.0,0.010000000000000009,0.08,2.8855000000000004,14,2
KXCPIYOY-25JAN,final,2.8962264150943398,2.9,3.0,0.0050000000000000044,0.045,2.8765,14,0
KXCPIYOY-25JUL,14d,2.72972972972973,2.7,2.8,0.03500000000000003,0.03,2.7315000000000005,8,0
KXCPIYOY-25JUL,1d,2.735869565217391,2.7,2.8,0.010000000000000009,0.01,2.7329999999999997,8,0
KXCPIYOY-25JUL,21d,2.7371794871794872,2.7,2.8,0.030000000000000027,0.025,2.7409999999999997,8,0
KXCPIYOY-25JUL,3d,2.717283950617284,2.7,2.8,0.010000000000000009,0.01,2.717,8,0
KXCPIYOY-25JUL,7d,2.7369565217391303,2.7,2.8,0.020000000000000018,0.015,2.73,8,0
KXCPIYOY-25JUL,final,2.735869565217391,2.7,2.8,0.010000000000000009,0.01,2.7329999999999997,8,0
KXCPIYOY-25JUN,14d,2.56231884057971,2.5,2.6,0.11499999999999999,0.0175,2.5825000000000005,11,3
KXCPIYOY-25JUN,1d,2.556756756756757,2.5,2.6,0.08999999999999997,0.005,2.5625000000000004,11,0
